CategoryName,LastUpdateTime,LocationName,PostURL,RecruitPostName,Responsibility
销售、服务与支持,2023年02月01日,北京,http://careers.tencent.com/jobdesc.html?postId=1570314012569116672,38279-智慧建筑与不动产大客户销售经理（北京/深圳/沪浙/福建/成都/西安）,1、负责智慧建筑与不动产行业战略洞察，参与制定并落实战略规划，达成工程建设、不动产等大客户的战略合作；2、负责行业大客户的商机挖掘、拓展和维护，为基建大客户提供端到端的数字化解决方案；3、提高腾讯云在大客户层面的认知，帮助团队进行相关的业务增长与行业拓展，提高销售额及利润。
技术,2023年02月01日,武汉,http://careers.tencent.com/jobdesc.html?postId=1593430983145693184,56649-出行服务前端开发工程师（CSIG全资子公司）（武汉）,1、负责腾讯出行服务的web项目及小程序日常需求开发；2、参与产品需求分析，深入了解业务， 持续优化产品体验，提升性能，安全及可用性；3、参与技术方案和系统设计评审，掌握相关的技术架构和原理，能够根据需求提供专业的解决方案。
产品,2023年02月01日,北京,http://careers.tencent.com/jobdesc.html?postId=1584826026494533632,38279-智慧建筑与不动产架构师,1. 负责智慧建筑与不动产行业在数字营销、智能建造、数字空间等场景方案设计，结合行业客户需求与应用场景，融合输出智能解决方案，并制定相关架构蓝图及实施路线图；2. 基于腾讯云计算、AIOT、大数据等产品能力及生态伙伴产品能力，发掘商机，并提出可行性解决方案，梳理完整业务架构，输出完整的解决方案，并负责与客户的对接沟通，直至满足客户需求；3. 对用户需求及系统基础产品需求进行分解，转化成产品开发需求，明确各需求对应技术框架及基本原理；4. 负责协调开发与产品进行精准定位，参与产品功能的验收；5. 负责售前技术、业务谈判阶段与客户沟通及需求分析工作，参与并配合进行项目实施各阶段技术方案的编制、修订、评审与验收。
产品,2023年02月01日,北京,http://careers.tencent.com/jobdesc.html?postId=1554306543132876800,25663-腾讯云传媒行业项目经理（北/上/深）,"1、负责腾讯云传媒客户的项目交付管理，保证项目按合同约定成功交付,对项目范围、进度、成本、交付质量、项目经营结果负责；2、负责充分把控项目实施过程中的难点、风险点，促进项目顺利落地，对项目交付过程中的技术路线和方向负责； 3、负责统筹项目人力资源，充分调度产品、研发及交付团队，定期组织交付团队总结和梳理项目进展和问题，推动项目顺利进行，对项目过程中的问题进行有效地跟踪和管理，把控项目交付进度和交付质量；4、负责对接客户，协助商务、售前维系客户关系，积极响应和支撑客户需求，同时能合理识别、引导客户需求和客户诉求，提供令客户满意甚至超出预期的专业技术服务；5、负责组织项目例行汇报、交流；编写、整理项目所涉及阶段汇报及项目验收报告等文档，确保项目按计划实施交付，保障项目的成功实施。"
产品,2023年02月01日,深圳,http://careers.tencent.com/jobdesc.html?postId=1318410961723334656,56231-《UE4写实军事双端射击游戏》宣发推广,1.负责产品的宣发运营工作，根据产品阶段和特点，定制产品的宣发内容策略，负责落地效果；2.与合作团队对接沟通，落地各种产品合作/植入等方案策划，帮助提升产品的影响力；3.跟进和把控创意素材，广告投放，事件营销的策略和执行工作，保证产品外宣品质；4.与产品研发团队对接沟通，以市场思维方向推动产品设计，实现产品一致性。
设计,2023年02月01日,深圳,http://careers.tencent.com/jobdesc.html?postId=1255714245950054400,56232-《UE4写实军事大世界射击手游》资深原画设计师,结合世界观和游戏玩法，协助AD制定落实项目的美术风格设定；负责概念美术产出和品质把控，确保美术表现；负责概念美术团队搭建，把控概念设计进度，带领团队优化概念设计流程；协调美术各生产环节，推动美术与其他环节的良好协作。
战略与投资,2023年02月01日,深圳,http://careers.tencent.com/jobdesc.html?postId=1483010769573388288,25928-高级商业分析经理 ,扫描游戏行业技术及发展动态，针对游戏研运领域开展纵深研究，输出研究报告；参与制定游戏研运体系发展战略规划，为各业务模块提供战略发展方向指引及建议，为业务负责人提供必要的决策支持；主导战略项目执行，协调内外部团队确保战略项目目标达成；新业务孵化的推动与支持，横向协同业务各部门，结合当前业务重点和发展阶段，研究行业对标产品及案例，为新业务落地提供策略参考；推动与战略合作伙伴、投资公司等生态企业的合作，创造业务侧协同发展机会。
产品,2023年02月01日,北京,http://careers.tencent.com/jobdesc.html?postId=1604852279674937344,38279-智慧建筑与不动产交付项目经理,1、负责组织打造在建筑与不动产（园区、建造）领域的专业交付能力，形成智慧建筑与不动产项目交付方法论；2、参与售前支持工作，协助售前团队编制项目交付方案、交付计划、述标等；3、对大型建企集团云服务项目的实施交付相关项目管理工作负责，以承接需求为起点，产品服务顺利交付到客户为终点，实现端到端的交付业务管理；4、建立现场员工与客户项目经理的沟通渠道，维护客户关系，赢得客户信赖，促成持续增复购；5、按照规范的项目交付过程管理，组织项目例行汇报、交流、编写，整理项目所涉及阶段汇报及项目验收报告等文档，确保项目按计划实施交付，保障项目交付的成功；6、对项目所涉及的技术方案、规划设计方案、交付方案、合同相关条款等关键点和风险点进行评审把关；7、掌握项目财务情况，有效控制项目成本，平衡项目成本与客户满意度。
销售、服务与支持,2023年02月01日,广州,http://careers.tencent.com/jobdesc.html?postId=1594943645604126720,30624-腾讯广告本土美妆行业直客销售（广州）,1、客户服务：存量客户的投放服务，确保效果投放达标并尽可能的释放更多预算，尤其对于潜力客户的放量引导效果是关键指标；2、新客开拓：通过个人行业资源以及代理、客户等渠道（日化美妆最佳），引入并承接新客的广告投放业务。确保新客的存活率，并筛选鉴别潜力客户扶持起量；3、行业链路方法论沉淀：细分行业链路的各关键节点，熟悉客户生意链路和财务核算逻辑。对应分析总结方法论，推动重要卡点的解决效率，提升行业客户投放费用。
产品,2023年02月01日,深圳,http://careers.tencent.com/jobdesc.html?postId=1548858266233085952,43460-腾讯游戏海外UA高级项目管理经理,1、负责对接腾讯游戏广告推广需求，并能制定投放策略，从而达成既定目标；2、管理投放进度，根据实际情况优化流程，并能根据业务需求推动跨部门协作；3、管理投放业务资源分配，提升各模块资源应用效率；4、负责推动产品技术团队优化广告系统，提升产品投放效率。
技术,2023年02月01日,广州,http://careers.tencent.com/jobdesc.html?postId=1556567329297408000,WXG01-微信视频号机器学习平台开发工程师(广州/深圳/北京）,负责机器学习训练平台的开发和长期优化，承接短视频推荐、直播推荐、红点推荐、订阅号视频推荐等业务的推荐模型训练需求，提高训练精度并降低训练成本；开发和维护机器学习推理平台，提升吞吐并降低推理延迟。
销售、服务与支持,2023年02月01日,北京,http://careers.tencent.com/jobdesc.html?postId=1551504926985691136,43894-腾讯云华北区域销售（北京/山西/内蒙/辽宁）,1、负责腾讯云华北区域市场的销售工作，包括目标客户的开发与维护及跟进，市场策略制定、合作伙伴管理等；2、聚焦销售，有坚定的执行力，达成公司制定的目标任务和KPI考核目标；3、独立开拓区域市场的客户，做出市场增量；
产品,2023年02月01日,西安,http://careers.tencent.com/jobdesc.html?postId=1595260029567508480,41072-腾讯云产品增长运营(CSIG全资子公司),1.负责音视频产品增长运营日常工作，负责加速、音视频、通信共计10+款产品的运营策略推进；2.围绕用户增长目标，规划和制定符合活动业务发展的流量运营和客户渗透策略，并进行分析；3.负责客户商机挖掘、下发、跟进及数据分析，能通过数据分析洞察客户需求，协助销售建立重点客户运营机制，做好客情维系；并策划场景解决方案及客户销售案例等，提高销售赢单率。4.协同前后端，建立产品-市场的双向反馈机制，组织新产品、新功能、新技术等的赋能考试培训，推动产品的商业化售卖及体验优化改进。
产品,2023年02月01日,成都,http://careers.tencent.com/jobdesc.html?postId=1546717077425889280,15575-《王者荣耀》国际版活跃运营（成都）,根据项目运营目标及国内产品特点，进行游戏活跃系统设计，规划针对性的运营活动，并跟进落地效果，后续总结经验，持续优化，完成运营目标； 针对不同海外区域的市场特点，进行有效的本地化运营策略调整； 整合各个模块的资源，包括但不限于市场、版本、社区、渠道等板块，通过整合运营，综合提升用户对产品运营的口碑，提升用户体验；
产品,2023年02月01日,武汉,http://careers.tencent.com/jobdesc.html?postId=1620610469930737664,CSIG16-腾讯地图产品经理（腾讯CSIG子公司）,1.参与腾讯地图商户小程序、PC端的产品建设工作，负责产品功能设计与运营推广；2.熟悉用户需求调研与行为分析，挖掘出用户的核心诉求，设计产品优化方向；3.撰写详细的产品需求文档及原型设计文档等相关文档，跟进产品研发进度；4.进行产品上线、运营推广和运营分析，评估相应效果，进行产品迭代改善；
战略与投资,2023年02月01日,香港,http://careers.tencent.com/jobdesc.html?postId=1612369450953089024,41066-Tencent Cloud-Senior Business Strategy Manager,"· Overview:You will be joining the Strategy Team / Program Office of Tencent Cloud International. The position will primarily focus on:1.  Program management for cross-region initiatives for Tencent Cloud International, including defining program scope, lining up stakeholders and driving execution. She/he will be expected to lead and coach virtual project teams to achieve results.2.  Process improvement: Work with cross-function teams to standardize toolkits and streamline processes across all global regions to drive efficiency and transparency.3. Business analysis: Analyze business performance data, define reporting build forecasts and set operation targets for Tencent Cloud International.· Position Description:The candidate will also share responsibility on the strategy development & business analysis side:1. Strategy development: Analyze competitive market landscape / trends for Cloud markets (IaaS, PaaS, SaaS, key verticals such as gaming, finance, e-Commerce, automobile, web3.0 etc.) globally and generate insights to drive strategy planning and business growth.2. Partnership development: drive overall partnership development with key clients / partners in strategic fields, such as with major conglomerates, top consultancies, vertical industry leaders, investment institutions, top technology companies, etc.."
产品,2023年02月01日,上海,http://careers.tencent.com/jobdesc.html?postId=1613120274260041728,49227-腾讯广告电商行业基础产品经理（上海/深圳）,负责腾讯广告电商行业产品策划工作，包括：1、以商品库为基础的投放策略产品的规划，对商品和用户建设有较强洞察，明确方向目标、里程碑计划，并推动落地2、从产品层面驱动电商行业发展，针对行业客户商业模式设计并验证解决方案，达成客户商业诉求3、结合广告投放各环节数据找到效果突破点，提升客户营销效果4、持续关注市场动态，与运营团队密切沟通，并驱动算法技术团队合作开发解决电商客户痛点
产品,2023年02月01日,深圳,http://careers.tencent.com/jobdesc.html?postId=1612471418828627968,30624-腾讯广告奢侈品行业广告运营（深圳）,1. 负责奢侈品行业营销解决方案的制定，助力行业客户在腾讯的生意增长2. 与奢侈品客户市场部、电商部门和客户的代理对接，协同多方创新性地规划预算使用方案、利用腾讯系媒体资源助力客户完成营销目标和GMV目标3. 联动内部产品技术团队，为客户的营销推广计划寻找更高效的方案，不断优化精进客户预算使用效率、带来更高的ROI回报
技术,2023年02月01日,上海,http://careers.tencent.com/jobdesc.html?postId=1605766632662114304,49227-腾讯广告系统后台开发工程师（上海）,"主要负责服务于电商行业的动态商品广告（Dynamic Product Ads, DPA）和基于商品的广告/推荐系统的开发。包括系统架构的设计，功能（2B和2C）的开发迭代和测试。"
产品,2023年02月01日,上海,http://careers.tencent.com/jobdesc.html?postId=1603278644208214016,30624-腾讯广告美妆中心运营（上海）,1、负责腾讯广告美妆行业运营工作，通过洞察广告主生意痛点，贴近行业交易模式，制定解决方案，并全面跟踪方案落地和持续迭代，提升广告主投放效果和预算。2、深耕细分国际美妆等子行业投放模式，从流量、链路、数据、创意等多维度沉淀细化运营方法论，探索业务新机会，提升腾讯广告的行业影响力。3、发挥腾讯生态优势，结合美妆行业特点，提炼行业性投放痛点，推动广告及后端产品功能迭代，构建行业壁垒。4、协调公司内外部资源，衔接销售、策划、产品、流量、市场、渠道等内部团队，外部衔接客户和服务商，保障沟通顺畅推进高效。
产品,2023年02月01日,深圳,http://careers.tencent.com/jobdesc.html?postId=1603237322470465536,30624-腾讯广告服饰日百行业运营（深圳/上海）,1、腾讯广告服饰日百中心行业客户运营，基于家清日百类客户沉淀运营方法论，对广告收入负责。2、深入了解行业发展趋势，洞察客户的商业目标和价值，判断需求价值，和销售、产研共同协同推动需求落地3、基于头部标杆的打法进行运营赋能和沉淀经验，能够总结行业打法覆盖中长尾，推动行业复制和应用4、承担组内共线部分运营专项模块，能够深入理解产品逻辑，拉齐大家认知，帮助大家共同推进核心能力专项的落地。
销售、服务与支持,2023年02月01日,上海,http://careers.tencent.com/jobdesc.html?postId=1612296713115017216,30624-腾讯广告国际美妆行业销售（上海）,1、新客开拓：通过个人行业资源以及代理、客户等渠道（日化美妆最佳），引入并承接新客的广告投放业务。确保新客的存活率，并筛选鉴别潜力客户扶持起量；2、客户服务：存量客户的投放服务，确保效果投放达标并尽可能的释放更多预算，尤其对于潜力客户的放量引导效果是关键指标；3、行业链路方法论沉淀：细分行业链路的各关键节点，熟悉客户生意链路和财务核算逻辑。对应分析总结方法论，推动重要卡点的解决效率，提升行业客户投放费用。
产品,2023年01月31日,上海,http://careers.tencent.com/jobdesc.html?postId=1546319581641973760,40163-《王者荣耀·世界》资深关卡策划（上海/成都）,根据项目设定背景，进行游戏关卡设计和制作，包括但不限于PVP/PVE地图、AI、怪物、各类事件处理等；独立进行初期关卡设计，使用3D引擎搭建白模关卡并验证可行性；关卡制作完成后，根据线上数据和反馈来迭代优化并在后续设计中总结归纳设计经验；对特定产品的关卡进行拆解分析，依据一定方法论进行可持续的关卡设计产出；
销售、服务与支持,2023年02月01日,广州,http://careers.tencent.com/jobdesc.html?postId=1568088823215169536,25663-腾讯云-泛互联网销售-技术服务(广州/深圳/北京),1、互联网行业内（包含移动互联网），负责腾讯云计算服务等相关产品的商务工作，包括目标客户的开发、维护、跟进，达成制定的商务指标；2、定期拜访目标客户，充分了解客户需求并积极跟进，制定合理方案，负责方案提示、谈判，追踪公司相关部门的维持与大客户的良好业务关系，及时更新公司产品信息，传达企业及品牌文化；3、关注客户需求，了解客户动态，做好客户长期维护和动态管理。
技术,2023年01月31日,深圳,http://careers.tencent.com/jobdesc.html?postId=1522502495933308928,TEG13-用户画像算法工程师（深圳）,1. 参与用户画像算法应用研究；2. 针对大规模用户行为和内容数据，构建业内领先的的用户风险识别模型；3. 超大规模系统算法架构设计，解决成本和性能问题。
销售、服务与支持,2023年01月31日,西安,http://careers.tencent.com/jobdesc.html?postId=1610472531683188736,43894-腾讯云华西区域西北销售经理,1、负责腾讯云在西北区域的泛企业客户销售工作，包括目标客户（工业、能源、文旅、建筑、农业等）的开发、维护及跟进，市场策略制定，商机挖掘，合作伙伴管理等；2、聚焦销售，有坚定的执行力，达成公司制定的目标任务和KPI考核目标；3、维护跟进现有客户的商务关系，在现有基础上拓展客户业务需求。
技术,2023年01月31日,深圳,http://careers.tencent.com/jobdesc.html?postId=1518125159674814464,51752-数字人民币交易高级开发工程师,持续打造高安全，高稳定，高扩展性的数字人民币技术系统：1、学习和理解数字人民币业务形态，合理分析产品需求，沉淀文档；承担数字人民币交易系统的研发工作；2、完成迭代的系统分析、设计和编码，自动化测试的任务，确保项目的进度和质量；3、线上系统维护及改进，保障系统稳定、用户体验及资金安全；
技术,2023年01月31日,深圳,http://careers.tencent.com/jobdesc.html?postId=1518112296923045888,51752-数字人民币系统架构师(深圳),1. 参与交易系统，核心账户，币系统的，系统设计，架构优化；2. 负责项目相关的需求分析，系统设计，系统优化等工作；3. 参与项目相关知识研究，方案设计，技术实现调研等工作；
技术,2023年01月31日,深圳,http://careers.tencent.com/jobdesc.html?postId=1592141631186804736,51752-金融科技系统架构师,负责腾讯金融业务系统底层架构建设相关工作，主要包含以下职责：1、负责金融业务系统架构设计，对项目实施过程中遇到的技术问题进行分析和解决；2、结合金融业务云原生架构升级的总体战略目标，对现存或未来系统进行宏观的思考，规划形成统一的框架、平台或组件，提升系统的风险应对能力；3、紧跟技术发展趋势，负责新技术的探索预研，将先进成熟的技术应用到产品中，推动团队技术上一个新台阶；
技术,2023年01月31日,深圳,http://careers.tencent.com/jobdesc.html?postId=1519508417822072832,51752-金融科技测试开发工程师,1.负责产品线测试全流程，深入理解业务和系统架构，参与重大产品需求和架构设计评审，关注需求和系统的可测性和设计的合理性，识别相关风险，对支付平台的后台架构、业务及代码层面深入的专项分析及优化；2.参与自动化用例的编写，结合业务主导性能、安全、异常等专项能力和金融业务测试工具平台的研发建设，不断提升专业度和深入度； 3.预研新技术，持续探索并落地行业先进的测试技术和理念，在实际工作中运用创新方法和工具帮助团队提升效能。
技术,2023年01月31日,深圳,http://careers.tencent.com/jobdesc.html?postId=1608432408602877952,51752-金融科技资金安全架构师,1、负责金融风险防范体系的架构设计及建设，建立通用系统分析及建模方法；2、负责支付业务资金风险防范能力建设，制定风险应对机制并沉淀平台化能力；3、负责跟进业务资金风险防范实施结果，提炼资金风险防控领域化防控能力。
技术,2023年01月31日,深圳,http://careers.tencent.com/jobdesc.html?postId=1558994456869347328,18428-研效平台前端开发组长,负责研效平台业务前端的方案设计、难点攻坚和研发需求落地，推动业务前端性能、可用性、用户体验等各项指标优化和提升； 负责研效平台前端技术规划，持续改进前端基础架构及研发流程工程化、组件化能力，不断提升研发效能；负责研效平台前端开发团队的管理工作，不断提高团队成员技术能力，构建良好的人才梯队；负责协同FiT内各部门前端技术规划工作，沉淀FiT前端公共平台能力。
产品,2023年01月31日,深圳,http://careers.tencent.com/jobdesc.html?postId=1561694134836666368,金融科技平台产品经理,1、业务中台方向：负责已有会计核算、账户、金融渠道等中台产品的优化迭代，提升资金安全、资金效率等保障能力； 2、工具平台方向：负责平台系统的产品方案和体验优化，搭建一体化研发运营平台，优化用户反馈问题，对平台产品的易用性和口碑负责；3、解决方案方向：发掘支付、金融等业务场景需求痛点，梳理业务流程并提供 “端到端”产品/技术解决方案。
技术,2023年01月31日,深圳,http://careers.tencent.com/jobdesc.html?postId=1561694132265558016,18428-金融科技高级测试开发专家,1. 负责测试开发团队的管理、整体技术规划、创新和应用，工具平台的架构设计、核心代码编码实现、代码检视等工作，保证工具平台的交付质量。2. 带领团队对工具平台关键技术的研究突破，结合业务推动工具平台的落地，帮助业务研发团队提升效能，并不断优化工具平台使用流畅性3. 深入理解业务和系统架构，关注并推动业务系统可测性、设计合理性，做好工具和业务的深度结合。4. 持续探索并落地行业先进的技术和理念，洞察工具平台新的机会点，助力业务高效发展。
技术,2023年01月31日,深圳,http://careers.tencent.com/jobdesc.html?postId=1567132552370593792,18428-金融科技运营安全高级工程师,1、负责金融业务各层面安全风险评估（主机、网络、应用、数据等）。在体系化全面评估的基础上，识别并深入分析关键风险，开发测试用例，验证风险真实性及治理效果； 2、配合蓝军进行攻防演练，负责从攻转防的技战术矩阵（例如ATT&CK模型）落地，持续完善FiT在常态化攻防场景下的技战术知识图谱积累；3、聚合国内外最新威胁情报和安全事件，并进行类比分析和验证评估。
技术,2023年01月31日,深圳,http://careers.tencent.com/jobdesc.html?postId=1567132496347275264,18428-金融渠道中台开发工程师（深圳）,负责FiT金融业务与外部机构协作的渠道中台系统能力建设：1、搭建实时交易系统、渠道容灾能力、批量交易系统、文件系统等通用系统能力；2、搭建业务开展所需的各类金融网络；3、为业务接入和运营提供PAAS服务能力，满足业务不同发展阶段差异性系统能力需求；4、提供面向机构对接、运营SAAS服务。
产品,2023年01月31日,深圳,http://careers.tencent.com/jobdesc.html?postId=1604729359950684160,43461-虚拟制作-技术产品经理,1.负责游戏引擎虚拟制作（直播，虚拟拍摄，XR，动捕）流程中相关技术功能的需求分析，产品设计规划等；2.了解业务需求和流程需求，分析并给出相应的技术和产品解决方案；3.负责确定产品各项指标，收集分析并持续迭代产品；4.了解内容技术领域的新技术和业界趋势，并进行技术产品的创新探索和落地，包括但不限于与内外部技术建联，技术合作，研发项目跟进，新技术方案产品化等
设计,2023年01月31日,西安,http://careers.tencent.com/jobdesc.html?postId=1595304310801965056,19332-企点营销产品体验设计师（交互方向）（CSIG全资子公司）,1、担任腾讯企点UX设计工作，涵盖Web、移动端，同时沉淀通用化设计解决方案。2、对企业市场推广、营销工具、会员体系、产业互联网等领域及其行业场景进行深入研究，设计驱动产品规划和创新。3、推进产品体验优化，打造高质量界面体验，与团队一起树立产品口碑。（备注：此岗位为腾讯集团旗下全资子公司编制岗位）
产品,2023年01月31日,北京,http://careers.tencent.com/jobdesc.html?postId=1592438572445605888,25663-腾讯云-泛互通用SaaS行业解决方案架构师(北京),1.对接腾讯云泛互ToB行业KA客户，为客户提供技术咨询服务，维系客户及支持客户的持续高速发展；2.理解客户在研发、运营工作中对云服务的需求，分析其快速发展过程中，在基础设施层面所遇到的挑战和未来的方向；3.针对客户业务场景，为客户规划基于腾讯云的混合云或云原生的架构方案，并规划出可行的、包含应用迁移和数据迁移的上云落地方案；4.在持续服务中，挖掘/获得客户在腾讯云上的新增长点，并组织方案，和产研及相关支持团队紧密协作，逐个落地5.负责上云案例、技术方案的更新维护，及相关的布道工作。
销售、服务与支持,2023年01月31日,深圳,http://careers.tencent.com/jobdesc.html?postId=1581941589914165248,25663-腾讯云-IDC行业拓展经理(深圳/北京),1、负责腾讯云IDC行业的输出及相关产品的销售，包括： 腾讯云IDC标准能力输出（IDC规划设计咨询、培训认证、运营优化、智能运维软件等；），IDC产品销售（腾讯自有知识产权的IDC相关硬件产品和解决方案的销售），IDC托管业务的销售， 大机电与服务器销售；2、搭建与腾讯云与IDC客户搭建腾讯云sell to拓展和销售能力，共同开拓云业务市场；3、对工作范围内的相关产品销售业绩负责。
产品,2023年01月31日,深圳,http://careers.tencent.com/jobdesc.html?postId=1585253817476194304,TEG04-高校合作高级项目经理（深圳/北京）,1、负责公司与高校的科研合作计划的规划和项目管理；2、负责公司与高校的人才培养合作的推进和项目管理；3、负责公司与学术团体的合作拓展及高端关系的维护。
产品,2023年01月31日,上海,http://careers.tencent.com/jobdesc.html?postId=1603246294858473472,25663-腾讯云-VIP售前解决方案架构师（上海）,1.对接腾讯云泛互行业VIP客户，为客户提供技术咨询服务，维系客户及支持客户的持续高速发展；2.理解互联网企业在研发、运营工作中对网络、计算、存储等基础设施的需求，分析其快速发展过程中，在基础设施层面所遇到的挑战和未来的方向； 3.向客户提供物理设备到云的方案和建议，针对客户业务场景，向客户推荐腾讯云平台所提供的互联网开放能力，并出具可行的、包含应用迁移和数据迁移的上云落地方案； 4.在客户迁云过程中，根据项目本身的需要，协助研发团队或实施团队（客户或合作伙伴）完成Demo系统搭建，PoC测试及最终迁移工作； 5.在持续服务中，挖掘/获得客户在腾讯云上的新增长点，并组织方案，和产研及相关支持团队紧密协作，逐个落地6.负责上云案例、技术方案的更新维护，及相关的布道工作。
